City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,mgandu,-5.95,34.1333,28.47,21,3,3.17,TZ,1722245904
338,detroit lakes,46.8172,-95.8453,18.25,98,51,2.21,US,1722245905
339,lospalos,-8.5186,127.0025,21.71,95,79,3.07,TL,1722245905
340,dakhla,23.6848,-15.958,21.01,88,40,10.8,EH,1722245905
341,lerwick,60.1545,-1.1494,15.0,81,42,4.21,GB,1722245906
342,vilyuchinsk,52.9306,158.4028,11.15,97,100,0.55,RU,1722245906
343,bandirma,40.3522,27.9767,34.48,58,0,8.23,TR,1722245906
344,massawa,15.6097,39.45,37.54,40,100,6.6,ER,1722245907
345,uturoa,-16.7333,-151.4333,26.63,80,0,7.93,PF,1722245907
346,burutu,5.3509,5.5076,28.3,68,77,4.29,NG,1722245907
347,saint-gaudens,43.0833,0.6667,34.31,24,1,2.75,FR,1722245908
348,karibib,-21.9333,15.8333,22.2,6,0,2.54,NA,1722245908
349,bardai,11.65,7.2333,25.89,72,98,5.21,NG,1722245908
350,ouadda,8.0777,22.4007,22.67,88,100,1.76,CF,1722245909
351,freetown,8.484,-13.2299,24.84,88,75,2.06,SL,1722245909
352,awjilah,29.1081,21.2869,35.18,23,0,2.37,LY,1722245910
353,mahina,-17.5065,-149.489,26.87,78,100,3.6,PF,1722245910
354,tual,-5.6667,132.75,26.01,85,88,8.65,ID,1722245910
355,embi,48.8264,58.1442,29.91,22,73,5.52,KZ,1722245911
356,kedougou,12.5579,-12.1743,24.32,88,40,2.06,SN,1722245911
357,vernon,50.2581,-119.2691,21.2,52,87,1.54,CA,1722245911
358,la ronge,55.1001,-105.2842,16.14,88,0,1.54,CA,1722245911
359,masterton,-40.9597,175.6575,14.5,85,100,3.96,NZ,1722245912
360,george town,5.4112,100.3354,31.97,55,20,4.63,MY,1722245912
361,vadso,70.0744,29.7487,18.49,77,20,6.17,NO,1722245912
362,hami,42.8,93.45,40.48,10,10,5.12,CN,1722245913
